transform_type,heads_selection,high_key_max_value,high_value_max_value,low_key_max_value,low_value_max_value,axis_key,axis_value,cr
hadamard,0.1,16,16,8,8,"(2,)","(1, 3)",5.1075
hadamard,0.1,16,16,8,6,"(2,)","(1, 3)",5.145
hadamard,0.1,16,16,8,4,"(2,)","(1, 3)",5.1982
hadamard,0.1,16,16,8,3,"(2,)","(1, 3)",5.2419
hadamard,0.1,16,16,6,8,"(2,)","(1, 3)",5.1429
hadamard,0.1,16,16,6,6,"(2,)","(1, 3)",5.1809
hadamard,0.1,16,16,6,4,"(2,)","(1, 3)",5.2348
hadamard,0.1,16,16,6,3,"(2,)","(1, 3)",5.2792
hadamard,0.1,16,16,4,8,"(2,)","(1, 3)",5.1858
hadamard,0.1,16,16,4,6,"(2,)","(1, 3)",5.2245
hadamard,0.1,16,16,4,4,"(2,)","(1, 3)",5.2793
hadamard,0.1,16,16,4,3,"(2,)","(1, 3)",5.3245
hadamard,0.1,16,16,3,8,"(2,)","(1, 3)",5.2445
hadamard,0.1,16,16,3,6,"(2,)","(1, 3)",5.2841
hadamard,0.1,16,16,3,4,"(2,)","(1, 3)",5.3402
hadamard,0.1,16,16,3,3,"(2,)","(1, 3)",5.3864
hadamard,0.1,16,12,8,8,"(2,)","(1, 3)",5.447
hadamard,0.1,16,12,8,6,"(2,)","(1, 3)",5.4897
hadamard,0.1,16,12,8,4,"(2,)","(1, 3)",5.5503
hadamard,0.1,16,12,8,3,"(2,)","(1, 3)",5.6002
hadamard,0.1,16,12,6,8,"(2,)","(1, 3)",5.4873
hadamard,0.1,16,12,6,6,"(2,)","(1, 3)",5.5306
hadamard,0.1,16,12,6,4,"(2,)","(1, 3)",5.5921
hadamard,0.1,16,12,6,3,"(2,)","(1, 3)",5.6428
hadamard,0.1,16,12,4,8,"(2,)","(1, 3)",5.5362
hadamard,0.1,16,12,4,6,"(2,)","(1, 3)",5.5803
hadamard,0.1,16,12,4,4,"(2,)","(1, 3)",5.6429
hadamard,0.1,16,12,4,3,"(2,)","(1, 3)",5.6945
hadamard,0.1,16,12,3,8,"(2,)","(1, 3)",5.6031
hadamard,0.1,16,12,3,6,"(2,)","(1, 3)",5.6483
hadamard,0.1,16,12,3,4,"(2,)","(1, 3)",5.7125
hadamard,0.1,16,12,3,3,"(2,)","(1, 3)",5.7654
hadamard,0.1,16,10,8,8,"(2,)","(1, 3)",5.6867
