transform_type,heads_selection,high_key_max_value,high_value_max_value,low_key_max_value,low_value_max_value,axis_key,axis_value,cr
hadamard,0.1,16,16,8,8,"(2,)","(1, 3)",5.1387
hadamard,0.1,16,16,8,6,"(2,)","(1, 3)",5.176
hadamard,0.1,16,16,8,4,"(2,)","(1, 3)",5.2295
hadamard,0.1,16,16,8,3,"(2,)","(1, 3)",5.2735
hadamard,0.1,16,16,6,8,"(2,)","(1, 3)",5.1738
hadamard,0.1,16,16,6,6,"(2,)","(1, 3)",5.2116
hadamard,0.1,16,16,6,4,"(2,)","(1, 3)",5.2658
hadamard,0.1,16,16,6,3,"(2,)","(1, 3)",5.3105
hadamard,0.1,16,16,4,8,"(2,)","(1, 3)",5.2153
hadamard,0.1,16,16,4,6,"(2,)","(1, 3)",5.2537
hadamard,0.1,16,16,4,4,"(2,)","(1, 3)",5.3088
hadamard,0.1,16,16,4,3,"(2,)","(1, 3)",5.3542
hadamard,0.1,16,16,3,8,"(2,)","(1, 3)",5.2764
hadamard,0.1,16,16,3,6,"(2,)","(1, 3)",5.3158
hadamard,0.1,16,16,3,4,"(2,)","(1, 3)",5.3722
hadamard,0.1,16,16,3,3,"(2,)","(1, 3)",5.4187
hadamard,0.1,16,12,8,8,"(2,)","(1, 3)",5.4836
hadamard,0.1,16,12,8,6,"(2,)","(1, 3)",5.5257
hadamard,0.1,16,12,8,4,"(2,)","(1, 3)",5.5862
hadamard,0.1,16,12,8,3,"(2,)","(1, 3)",5.6363
hadamard,0.1,16,12,6,8,"(2,)","(1, 3)",5.5235
hadamard,0.1,16,12,6,6,"(2,)","(1, 3)",5.5663
hadamard,0.1,16,12,6,4,"(2,)","(1, 3)",5.6277
hadamard,0.1,16,12,6,3,"(2,)","(1, 3)",5.6786
hadamard,0.1,16,12,4,8,"(2,)","(1, 3)",5.5709
hadamard,0.1,16,12,4,6,"(2,)","(1, 3)",5.6144
hadamard,0.1,16,12,4,4,"(2,)","(1, 3)",5.6769
hadamard,0.1,16,12,4,3,"(2,)","(1, 3)",5.7287
hadamard,0.1,16,12,3,8,"(2,)","(1, 3)",5.6407
hadamard,0.1,16,12,3,6,"(2,)","(1, 3)",5.6853
hadamard,0.1,16,12,3,4,"(2,)","(1, 3)",5.7494
hadamard,0.1,16,12,3,3,"(2,)","(1, 3)",5.8025
hadamard,0.1,16,10,8,8,"(2,)","(1, 3)",5.7271
hadamard,0.1,16,10,8,6,"(2,)","(1, 3)",5.7731
hadamard,0.1,16,10,8,4,"(2,)","(1, 3)",5.8388
hadamard,0.1,16,10,8,3,"(2,)","(1, 3)",5.8934
hadamard,0.1,16,10,6,8,"(2,)","(1, 3)",5.7707
hadamard,0.1,16,10,6,6,"(2,)","(1, 3)",5.8175
hadamard,0.1,16,10,6,4,"(2,)","(1, 3)",5.8842
hadamard,0.1,16,10,6,3,"(2,)","(1, 3)",5.9396
hadamard,0.1,16,10,4,8,"(2,)","(1, 3)",5.8225
hadamard,0.1,16,10,4,6,"(2,)","(1, 3)",5.8701
hadamard,0.1,16,10,4,4,"(2,)","(1, 3)",5.938
hadamard,0.1,16,10,4,3,"(2,)","(1, 3)",5.9944
hadamard,0.1,16,10,3,8,"(2,)","(1, 3)",5.8987
hadamard,0.1,16,10,3,6,"(2,)","(1, 3)",5.9476
hadamard,0.1,16,10,3,4,"(2,)","(1, 3)",6.0173
hadamard,0.1,16,10,3,3,"(2,)","(1, 3)",6.0753
hadamard,0.1,16,8,8,8,"(2,)","(1, 3)",6.059
hadamard,0.1,16,8,8,6,"(2,)","(1, 3)",6.1113
hadamard,0.1,16,8,8,4,"(2,)","(1, 3)",6.1846
hadamard,0.1,16,8,8,3,"(2,)","(1, 3)",6.2455
hadamard,0.1,16,8,6,8,"(2,)","(1, 3)",6.1078
hadamard,0.1,16,8,6,6,"(2,)","(1, 3)",6.161
hadamard,0.1,16,8,6,4,"(2,)","(1, 3)",6.2355
hadamard,0.1,16,8,6,3,"(2,)","(1, 3)",6.2974
hadamard,0.1,16,8,4,8,"(2,)","(1, 3)",6.1658
hadamard,0.1,16,8,4,6,"(2,)","(1, 3)",6.22
hadamard,0.1,16,8,4,4,"(2,)","(1, 3)",6.2959
hadamard,0.1,16,8,4,3,"(2,)","(1, 3)",6.3591
hadamard,0.1,16,8,3,8,"(2,)","(1, 3)",6.2514
hadamard,0.1,16,8,3,6,"(2,)","(1, 3)",6.3071
hadamard,0.1,16,8,3,4,"(2,)","(1, 3)",6.3852
hadamard,0.1,16,8,3,3,"(2,)","(1, 3)",6.4502
hadamard,0.1,16,6,8,6,"(2,)","(1, 3)",6.5923
hadamard,0.1,16,6,8,4,"(2,)","(1, 3)",6.6787
hadamard,0.1,16,6,8,3,"(2,)","(1, 3)",6.7491
hadamard,0.1,16,6,6,6,"(2,)","(1, 3)",6.6502
hadamard,0.1,16,6,6,4,"(2,)","(1, 3)",6.7381
hadamard,0.1,16,6,6,3,"(2,)","(1, 3)",6.8098
hadamard,0.1,16,6,4,6,"(2,)","(1, 3)",6.719
hadamard,0.1,16,6,4,4,"(2,)","(1, 3)",6.8087
hadamard,0.1,16,6,4,3,"(2,)","(1, 3)",6.882
hadamard,0.1,16,6,3,6,"(2,)","(1, 3)",6.8208
hadamard,0.1,16,6,3,4,"(2,)","(1, 3)",6.9133
hadamard,0.1,16,6,3,3,"(2,)","(1, 3)",6.9888
hadamard,0.1,16,5,8,4,"(2,)","(1, 3)",7.0721
hadamard,0.1,16,5,8,3,"(2,)","(1, 3)",7.1511
hadamard,0.1,16,5,6,4,"(2,)","(1, 3)",7.1387
hadamard,0.1,16,5,6,3,"(2,)","(1, 3)",7.2192
hadamard,0.1,16,5,4,4,"(2,)","(1, 3)",7.218
hadamard,0.1,16,5,4,3,"(2,)","(1, 3)",7.3004
hadamard,0.1,16,5,3,4,"(2,)","(1, 3)",7.3357
hadamard,0.1,16,5,3,3,"(2,)","(1, 3)",7.4207
hadamard,0.1,12,16,8,8,"(2,)","(1, 3)",5.4834
hadamard,0.1,12,16,8,6,"(2,)","(1, 3)",5.5259
hadamard,0.1,12,16,8,4,"(2,)","(1, 3)",5.5869
hadamard,0.1,12,16,8,3,"(2,)","(1, 3)",5.6372
hadamard,0.1,12,16,6,8,"(2,)","(1, 3)",5.5229
hadamard,0.1,12,16,6,6,"(2,)","(1, 3)",5.566
hadamard,0.1,12,16,6,4,"(2,)","(1, 3)",5.6279
hadamard,0.1,12,16,6,3,"(2,)","(1, 3)",5.6789
hadamard,0.1,12,16,4,8,"(2,)","(1, 3)",5.5698
hadamard,0.1,12,16,4,6,"(2,)","(1, 3)",5.6137
