transform_type,heads_selection,high_key_max_value,high_value_max_value,low_key_max_value,low_value_max_value,axis_key,axis_value,cr
none,0.1,16,16,8,8,"(2,)","(1, 3)",5.0693
none,0.1,16,16,8,6,"(2,)","(1, 3)",5.1051
none,0.1,16,16,8,4,"(2,)","(1, 3)",5.1555
none,0.1,16,16,6,8,"(2,)","(1, 3)",5.1059
none,0.1,16,16,6,6,"(2,)","(1, 3)",5.1422
none,0.1,16,16,6,4,"(2,)","(1, 3)",5.1933
none,0.1,16,16,4,8,"(2,)","(1, 3)",5.1556
none,0.1,16,16,4,6,"(2,)","(1, 3)",5.1925
none,0.1,16,16,4,4,"(2,)","(1, 3)",5.2447
none,0.1,16,12,8,8,"(2,)","(1, 3)",5.4003
none,0.1,16,12,8,6,"(2,)","(1, 3)",5.4409
none,0.1,16,12,8,4,"(2,)","(1, 3)",5.4982
none,0.1,16,12,6,8,"(2,)","(1, 3)",5.4419
none,0.1,16,12,6,6,"(2,)","(1, 3)",5.4831
none,0.1,16,12,6,4,"(2,)","(1, 3)",5.5413
none,0.1,16,12,4,8,"(2,)","(1, 3)",5.4983
none,0.1,16,12,4,6,"(2,)","(1, 3)",5.5404
none,0.1,16,12,4,4,"(2,)","(1, 3)",5.5998
none,0.1,16,10,8,8,"(2,)","(1, 3)",5.6343
none,0.1,16,10,8,6,"(2,)","(1, 3)",5.6785
none,0.1,16,10,8,4,"(2,)","(1, 3)",5.741
none,0.1,16,10,6,8,"(2,)","(1, 3)",5.6796
none,0.1,16,10,6,6,"(2,)","(1, 3)",5.7245
none,0.1,16,10,6,4,"(2,)","(1, 3)",5.788
none,0.1,16,10,4,8,"(2,)","(1, 3)",5.7411
none,0.1,16,10,4,6,"(2,)","(1, 3)",5.787
none,0.1,16,10,4,4,"(2,)","(1, 3)",5.8518
none,0.1,16,8,8,8,"(2,)","(1, 3)",5.9489
none,0.1,16,8,8,6,"(2,)","(1, 3)",5.9982
none,0.1,16,8,8,4,"(2,)","(1, 3)",6.0679
none,0.1,16,8,6,8,"(2,)","(1, 3)",5.9994
none,0.1,16,8,6,6,"(2,)","(1, 3)",6.0495
none,0.1,16,8,6,4,"(2,)","(1, 3)",6.1204
none,0.1,16,8,4,8,"(2,)","(1, 3)",6.068
none,0.1,16,8,4,6,"(2,)","(1, 3)",6.1193
none,0.1,16,8,4,4,"(2,)","(1, 3)",6.1919
none,0.1,16,6,8,6,"(2,)","(1, 3)",6.4506
none,0.1,16,6,8,4,"(2,)","(1, 3)",6.5313
none,0.1,16,6,6,6,"(2,)","(1, 3)",6.5099
none,0.1,16,6,6,4,"(2,)","(1, 3)",6.5922
none,0.1,16,6,4,6,"(2,)","(1, 3)",6.5909
none,0.1,16,6,4,4,"(2,)","(1, 3)",6.6752
none,0.1,12,16,8,8,"(2,)","(1, 3)",5.4061
none,0.1,12,16,8,6,"(2,)","(1, 3)",5.4467
none,0.1,12,16,8,4,"(2,)","(1, 3)",5.5042
none,0.1,12,16,6,8,"(2,)","(1, 3)",5.4477
none,0.1,12,16,6,6,"(2,)","(1, 3)",5.489
none,0.1,12,16,6,4,"(2,)","(1, 3)",5.5473
none,0.1,12,16,4,8,"(2,)","(1, 3)",5.5043
none,0.1,12,16,4,6,"(2,)","(1, 3)",5.5464
none,0.1,12,16,4,4,"(2,)","(1, 3)",5.606
none,0.1,12,12,8,8,"(2,)","(1, 3)",5.7842
none,0.1,12,12,8,6,"(2,)","(1, 3)",5.8307
none,0.1,12,12,8,4,"(2,)","(1, 3)",5.8966
none,0.1,12,12,6,8,"(2,)","(1, 3)",5.8318
none,0.1,12,12,6,6,"(2,)","(1, 3)",5.8792
none,0.1,12,12,6,4,"(2,)","(1, 3)",5.9462
none,0.1,12,12,4,8,"(2,)","(1, 3)",5.8967
none,0.1,12,12,4,6,"(2,)","(1, 3)",5.9451
none,0.1,12,12,4,4,"(2,)","(1, 3)",6.0136
none,0.1,12,10,8,8,"(2,)","(1, 3)",6.0535
none,0.1,12,10,8,6,"(2,)","(1, 3)",6.1045
none,0.1,12,10,8,4,"(2,)","(1, 3)",6.1767
none,0.1,12,10,6,8,"(2,)","(1, 3)",6.1057
none,0.1,12,10,6,6,"(2,)","(1, 3)",6.1576
none,0.1,12,10,6,4,"(2,)","(1, 3)",6.2311
none,0.1,12,10,4,8,"(2,)","(1, 3)",6.1768
none,0.1,12,10,4,6,"(2,)","(1, 3)",6.23
none,0.1,12,10,4,4,"(2,)","(1, 3)",6.3052
none,0.1,12,8,8,8,"(2,)","(1, 3)",6.4181
none,0.1,12,8,8,6,"(2,)","(1, 3)",6.4754
none,0.1,12,8,8,4,"(2,)","(1, 3)",6.5568
none,0.1,12,8,6,8,"(2,)","(1, 3)",6.4768
none,0.1,12,8,6,6,"(2,)","(1, 3)",6.5353
none,0.1,12,8,6,4,"(2,)","(1, 3)",6.6181
none,0.1,12,8,4,8,"(2,)","(1, 3)",6.5569
none,0.1,12,8,4,6,"(2,)","(1, 3)",6.6168
none,0.1,12,8,4,4,"(2,)","(1, 3)",6.7018
none,0.1,12,6,8,6,"(2,)","(1, 3)",7.0059
none,0.1,12,6,8,4,"(2,)","(1, 3)",7.1012
none,0.1,12,6,6,6,"(2,)","(1, 3)",7.076
none,0.1,12,6,6,4,"(2,)","(1, 3)",7.1732
none,0.1,12,6,4,6,"(2,)","(1, 3)",7.1717
none,0.1,12,6,4,4,"(2,)","(1, 3)",7.2716
none,0.1,10,16,8,8,"(2,)","(1, 3)",5.6448
none,0.1,10,16,8,6,"(2,)","(1, 3)",5.6892
