transform_type,heads_selection,high_key_max_value,high_value_max_value,low_key_max_value,low_value_max_value,axis_key,axis_value,cr
none,0.1,16,16,8,8,"(2,)","(1, 3)",5.089
none,0.1,16,16,8,6,"(2,)","(1, 3)",5.1244
none,0.1,16,16,8,4,"(2,)","(1, 3)",5.1746
none,0.1,16,16,6,8,"(2,)","(1, 3)",5.125
none,0.1,16,16,6,6,"(2,)","(1, 3)",5.1609
none,0.1,16,16,6,4,"(2,)","(1, 3)",5.2119
none,0.1,16,16,4,8,"(2,)","(1, 3)",5.1739
none,0.1,16,16,4,6,"(2,)","(1, 3)",5.2105
none,0.1,16,16,4,4,"(2,)","(1, 3)",5.2624
none,0.1,16,12,8,8,"(2,)","(1, 3)",5.4231
none,0.1,16,12,8,6,"(2,)","(1, 3)",5.463
none,0.1,16,12,8,4,"(2,)","(1, 3)",5.5196
none,0.1,16,12,6,8,"(2,)","(1, 3)",5.464
none,0.1,16,12,6,6,"(2,)","(1, 3)",5.5045
none,0.1,16,12,6,4,"(2,)","(1, 3)",5.562
none,0.1,16,12,4,8,"(2,)","(1, 3)",5.5196
none,0.1,16,12,4,6,"(2,)","(1, 3)",5.5609
none,0.1,16,12,4,4,"(2,)","(1, 3)",5.6196
none,0.1,16,10,8,8,"(2,)","(1, 3)",5.6593
none,0.1,16,10,8,6,"(2,)","(1, 3)",5.7027
none,0.1,16,10,8,4,"(2,)","(1, 3)",5.7641
none,0.1,16,10,6,8,"(2,)","(1, 3)",5.7038
none,0.1,16,10,6,6,"(2,)","(1, 3)",5.748
none,0.1,16,10,6,4,"(2,)","(1, 3)",5.8103
none,0.1,16,10,4,8,"(2,)","(1, 3)",5.7644
none,0.1,16,10,4,6,"(2,)","(1, 3)",5.8095
none,0.1,16,10,4,4,"(2,)","(1, 3)",5.8732
none,0.1,16,8,8,8,"(2,)","(1, 3)",5.9762
none,0.1,16,8,8,6,"(2,)","(1, 3)",6.0253
none,0.1,16,8,8,4,"(2,)","(1, 3)",6.0934
none,0.1,16,8,6,8,"(2,)","(1, 3)",6.0259
none,0.1,16,8,6,6,"(2,)","(1, 3)",6.0758
none,0.1,16,8,6,4,"(2,)","(1, 3)",6.1452
none,0.1,16,8,4,8,"(2,)","(1, 3)",6.0935
none,0.1,16,8,4,6,"(2,)","(1, 3)",6.1446
