transform_type,heads_selection,high_key_max_value,high_value_max_value,low_key_max_value,low_value_max_value,axis_key,axis_value,cr
hadamard,0.1,16,16,8,8,"(2,)","(1, 3)",4.9462
hadamard,0.1,16,16,8,6,"(2,)","(1, 3)",4.9802
hadamard,0.1,16,16,8,4,"(2,)","(1, 3)",5.0285
hadamard,0.1,16,16,8,3,"(2,)","(1, 3)",5.068
hadamard,0.1,16,16,6,8,"(2,)","(1, 3)",4.9784
hadamard,0.1,16,16,6,6,"(2,)","(1, 3)",5.0129
hadamard,0.1,16,16,6,4,"(2,)","(1, 3)",5.0618
hadamard,0.1,16,16,6,3,"(2,)","(1, 3)",5.1018
hadamard,0.1,16,16,4,8,"(2,)","(1, 3)",5.0178
hadamard,0.1,16,16,4,6,"(2,)","(1, 3)",5.0528
hadamard,0.1,16,16,4,4,"(2,)","(1, 3)",5.1025
hadamard,0.1,16,16,4,3,"(2,)","(1, 3)",5.1432
hadamard,0.1,16,16,3,8,"(2,)","(1, 3)",5.0702
hadamard,0.1,16,16,3,6,"(2,)","(1, 3)",5.106
hadamard,0.1,16,16,3,4,"(2,)","(1, 3)",5.1567
hadamard,0.1,16,16,3,3,"(2,)","(1, 3)",5.1983
hadamard,0.1,16,12,8,8,"(2,)","(1, 3)",5.2666
hadamard,0.1,16,12,8,6,"(2,)","(1, 3)",5.3052
hadamard,0.1,16,12,8,4,"(2,)","(1, 3)",5.36
hadamard,0.1,16,12,8,3,"(2,)","(1, 3)",5.4049
hadamard,0.1,16,12,6,8,"(2,)","(1, 3)",5.3031
hadamard,0.1,16,12,6,6,"(2,)","(1, 3)",5.3423
hadamard,0.1,16,12,6,4,"(2,)","(1, 3)",5.3978
hadamard,0.1,16,12,6,3,"(2,)","(1, 3)",5.4434
hadamard,0.1,16,12,4,8,"(2,)","(1, 3)",5.3478
hadamard,0.1,16,12,4,6,"(2,)","(1, 3)",5.3877
hadamard,0.1,16,12,4,4,"(2,)","(1, 3)",5.4442
hadamard,0.1,16,12,4,3,"(2,)","(1, 3)",5.4905
hadamard,0.1,16,12,3,8,"(2,)","(1, 3)",5.4075
hadamard,0.1,16,12,3,6,"(2,)","(1, 3)",5.4482
hadamard,0.1,16,12,3,4,"(2,)","(1, 3)",5.506
hadamard,0.1,16,12,3,3,"(2,)","(1, 3)",5.5534
hadamard,0.1,16,10,8,8,"(2,)","(1, 3)",5.4933
hadamard,0.1,16,10,8,6,"(2,)","(1, 3)",5.5353
hadamard,0.1,16,10,8,4,"(2,)","(1, 3)",5.595
hadamard,0.1,16,10,8,3,"(2,)","(1, 3)",5.644
hadamard,0.1,16,10,6,8,"(2,)","(1, 3)",5.533
hadamard,0.1,16,10,6,6,"(2,)","(1, 3)",5.5757
hadamard,0.1,16,10,6,4,"(2,)","(1, 3)",5.6362
hadamard,0.1,16,10,6,3,"(2,)","(1, 3)",5.6859
