transform_type,heads_selection,high_key_max_value,high_value_max_value,low_key_max_value,low_value_max_value,axis_key,axis_value,cr
hadamard,0.1,16,16,8,8,"(2,)","(1, 3)",4.9742
hadamard,0.1,16,16,8,6,"(2,)","(1, 3)",5.0079
hadamard,0.1,16,16,8,4,"(2,)","(1, 3)",5.0562
hadamard,0.1,16,16,8,3,"(2,)","(1, 3)",5.0961
hadamard,0.1,16,16,6,8,"(2,)","(1, 3)",5.0059
hadamard,0.1,16,16,6,6,"(2,)","(1, 3)",5.0401
hadamard,0.1,16,16,6,4,"(2,)","(1, 3)",5.089
hadamard,0.1,16,16,6,3,"(2,)","(1, 3)",5.1294
hadamard,0.1,16,16,4,8,"(2,)","(1, 3)",5.0436
hadamard,0.1,16,16,4,6,"(2,)","(1, 3)",5.0783
hadamard,0.1,16,16,4,4,"(2,)","(1, 3)",5.128
hadamard,0.1,16,16,4,3,"(2,)","(1, 3)",5.169
hadamard,0.1,16,16,3,8,"(2,)","(1, 3)",5.0987
hadamard,0.1,16,16,3,6,"(2,)","(1, 3)",5.1341
hadamard,0.1,16,16,3,4,"(2,)","(1, 3)",5.1849
hadamard,0.1,16,16,3,3,"(2,)","(1, 3)",5.2268
hadamard,0.1,16,12,8,8,"(2,)","(1, 3)",5.2995
hadamard,0.1,16,12,8,6,"(2,)","(1, 3)",5.3375
hadamard,0.1,16,12,8,4,"(2,)","(1, 3)",5.392
hadamard,0.1,16,12,8,3,"(2,)","(1, 3)",5.4372
hadamard,0.1,16,12,6,8,"(2,)","(1, 3)",5.3356
hadamard,0.1,16,12,6,6,"(2,)","(1, 3)",5.3741
hadamard,0.1,16,12,6,4,"(2,)","(1, 3)",5.4294
hadamard,0.1,16,12,6,3,"(2,)","(1, 3)",5.4752
hadamard,0.1,16,12,4,8,"(2,)","(1, 3)",5.3784
hadamard,0.1,16,12,4,6,"(2,)","(1, 3)",5.4176
hadamard,0.1,16,12,4,4,"(2,)","(1, 3)",5.4738
hadamard,0.1,16,12,4,3,"(2,)","(1, 3)",5.5203
hadamard,0.1,16,12,3,8,"(2,)","(1, 3)",5.441
hadamard,0.1,16,12,3,6,"(2,)","(1, 3)",5.4811
hadamard,0.1,16,12,3,4,"(2,)","(1, 3)",5.5386
hadamard,0.1,16,12,3,3,"(2,)","(1, 3)",5.5863
hadamard,0.1,16,10,8,8,"(2,)","(1, 3)",5.5298
hadamard,0.1,16,10,8,6,"(2,)","(1, 3)",5.5713
hadamard,0.1,16,10,8,4,"(2,)","(1, 3)",5.6303
hadamard,0.1,16,10,8,3,"(2,)","(1, 3)",5.6794
hadamard,0.1,16,10,6,8,"(2,)","(1, 3)",5.569
hadamard,0.1,16,10,6,6,"(2,)","(1, 3)",5.6111
hadamard,0.1,16,10,6,4,"(2,)","(1, 3)",5.671
hadamard,0.1,16,10,6,3,"(2,)","(1, 3)",5.7209
hadamard,0.1,16,10,4,8,"(2,)","(1, 3)",5.6157
hadamard,0.1,16,10,4,6,"(2,)","(1, 3)",5.6585
hadamard,0.1,16,10,4,4,"(2,)","(1, 3)",5.7195
hadamard,0.1,16,10,4,3,"(2,)","(1, 3)",5.7702
hadamard,0.1,16,10,3,8,"(2,)","(1, 3)",5.6841
hadamard,0.1,16,10,3,6,"(2,)","(1, 3)",5.7279
hadamard,0.1,16,10,3,4,"(2,)","(1, 3)",5.7904
hadamard,0.1,16,10,3,3,"(2,)","(1, 3)",5.8423
hadamard,0.1,16,8,8,8,"(2,)","(1, 3)",5.8436
hadamard,0.1,16,8,8,6,"(2,)","(1, 3)",5.8906
hadamard,0.1,16,8,8,4,"(2,)","(1, 3)",5.9564
hadamard,0.1,16,8,8,3,"(2,)","(1, 3)",6.0111
hadamard,0.1,16,8,6,8,"(2,)","(1, 3)",5.8875
hadamard,0.1,16,8,6,6,"(2,)","(1, 3)",5.9352
hadamard,0.1,16,8,6,4,"(2,)","(1, 3)",6.002
hadamard,0.1,16,8,6,3,"(2,)","(1, 3)",6.0575
hadamard,0.1,16,8,4,8,"(2,)","(1, 3)",5.9397
hadamard,0.1,16,8,4,6,"(2,)","(1, 3)",5.9883
hadamard,0.1,16,8,4,4,"(2,)","(1, 3)",6.0563
hadamard,0.1,16,8,4,3,"(2,)","(1, 3)",6.1128
hadamard,0.1,16,8,3,8,"(2,)","(1, 3)",6.0162
hadamard,0.1,16,8,3,6,"(2,)","(1, 3)",6.066
hadamard,0.1,16,8,3,4,"(2,)","(1, 3)",6.1358
hadamard,0.1,16,8,3,3,"(2,)","(1, 3)",6.1939
hadamard,0.1,16,6,8,6,"(2,)","(1, 3)",6.3533
hadamard,0.1,16,6,8,4,"(2,)","(1, 3)",6.4307
hadamard,0.1,16,6,8,3,"(2,)","(1, 3)",6.494
hadamard,0.1,16,6,6,6,"(2,)","(1, 3)",6.4052
hadamard,0.1,16,6,6,4,"(2,)","(1, 3)",6.4839
hadamard,0.1,16,6,6,3,"(2,)","(1, 3)",6.5482
hadamard,0.1,16,6,4,6,"(2,)","(1, 3)",6.467
hadamard,0.1,16,6,4,4,"(2,)","(1, 3)",6.5473
hadamard,0.1,16,6,4,3,"(2,)","(1, 3)",6.6129
hadamard,0.1,16,6,3,6,"(2,)","(1, 3)",6.5578
hadamard,0.1,16,6,3,4,"(2,)","(1, 3)",6.6403
hadamard,0.1,16,6,3,3,"(2,)","(1, 3)",6.7078
hadamard,0.1,16,5,8,4,"(2,)","(1, 3)",6.7895
hadamard,0.1,16,5,8,3,"(2,)","(1, 3)",6.8601
hadamard,0.1,16,5,6,4,"(2,)","(1, 3)",6.8488
hadamard,0.1,16,5,6,3,"(2,)","(1, 3)",6.9206
hadamard,0.1,16,5,4,4,"(2,)","(1, 3)",6.9196
hadamard,0.1,16,5,4,3,"(2,)","(1, 3)",6.9929
hadamard,0.1,16,5,3,4,"(2,)","(1, 3)",7.0236
hadamard,0.1,16,5,3,3,"(2,)","(1, 3)",7.0991
hadamard,0.1,12,16,8,8,"(2,)","(1, 3)",5.2974
hadamard,0.1,12,16,8,6,"(2,)","(1, 3)",5.3357
hadamard,0.1,12,16,8,4,"(2,)","(1, 3)",5.3906
hadamard,0.1,12,16,8,3,"(2,)","(1, 3)",5.4359
hadamard,0.1,12,16,6,8,"(2,)","(1, 3)",5.333
hadamard,0.1,12,16,6,6,"(2,)","(1, 3)",5.3718
hadamard,0.1,12,16,6,4,"(2,)","(1, 3)",5.4274
hadamard,0.1,12,16,6,3,"(2,)","(1, 3)",5.4734
hadamard,0.1,12,16,4,8,"(2,)","(1, 3)",5.3754
