transform_type,heads_selection,high_key_max_value,high_value_max_value,low_key_max_value,low_value_max_value,axis_key,axis_value,cr
none,0.1,16,16,8,8,"(2,)","(1, 3)",4.9536
none,0.1,16,16,8,6,"(2,)","(1, 3)",4.9873
none,0.1,16,16,8,4,"(2,)","(1, 3)",5.0361
none,0.1,16,16,6,8,"(2,)","(1, 3)",4.987
none,0.1,16,16,6,6,"(2,)","(1, 3)",5.0212
none,0.1,16,16,6,4,"(2,)","(1, 3)",5.0705
none,0.1,16,16,4,8,"(2,)","(1, 3)",5.0309
none,0.1,16,16,4,6,"(2,)","(1, 3)",5.0656
none,0.1,16,16,4,4,"(2,)","(1, 3)",5.1159
none,0.1,16,12,8,8,"(2,)","(1, 3)",5.2715
none,0.1,16,12,8,6,"(2,)","(1, 3)",5.3097
none,0.1,16,12,8,4,"(2,)","(1, 3)",5.3649
none,0.1,16,12,6,8,"(2,)","(1, 3)",5.3093
none,0.1,16,12,6,6,"(2,)","(1, 3)",5.348
none,0.1,16,12,6,4,"(2,)","(1, 3)",5.4041
none,0.1,16,12,4,8,"(2,)","(1, 3)",5.3591
none,0.1,16,12,4,6,"(2,)","(1, 3)",5.3985
none,0.1,16,12,4,4,"(2,)","(1, 3)",5.4556
none,0.1,16,10,8,8,"(2,)","(1, 3)",5.4957
none,0.1,16,10,8,6,"(2,)","(1, 3)",5.5372
none,0.1,16,10,8,4,"(2,)","(1, 3)",5.5973
none,0.1,16,10,6,8,"(2,)","(1, 3)",5.5368
none,0.1,16,10,6,6,"(2,)","(1, 3)",5.5789
none,0.1,16,10,6,4,"(2,)","(1, 3)",5.6399
none,0.1,16,10,4,8,"(2,)","(1, 3)",5.5909
none,0.1,16,10,4,6,"(2,)","(1, 3)",5.6338
none,0.1,16,10,4,4,"(2,)","(1, 3)",5.6961
none,0.1,16,8,8,8,"(2,)","(1, 3)",5.7996
none,0.1,16,8,8,6,"(2,)","(1, 3)",5.8459
none,0.1,16,8,8,4,"(2,)","(1, 3)",5.9129
none,0.1,16,8,6,8,"(2,)","(1, 3)",5.8454
none,0.1,16,8,6,6,"(2,)","(1, 3)",5.8924
none,0.1,16,8,6,4,"(2,)","(1, 3)",5.9605
none,0.1,16,8,4,8,"(2,)","(1, 3)",5.9058
none,0.1,16,8,4,6,"(2,)","(1, 3)",5.9537
none,0.1,16,8,4,4,"(2,)","(1, 3)",6.0233
none,0.1,16,6,8,6,"(2,)","(1, 3)",6.2834
none,0.1,16,6,8,4,"(2,)","(1, 3)",6.3609
none,0.1,16,6,6,6,"(2,)","(1, 3)",6.3372
none,0.1,16,6,6,4,"(2,)","(1, 3)",6.416
none,0.1,16,6,4,6,"(2,)","(1, 3)",6.4082
none,0.1,16,6,4,4,"(2,)","(1, 3)",6.4888
none,0.1,12,16,8,8,"(2,)","(1, 3)",5.2758
none,0.1,12,16,8,6,"(2,)","(1, 3)",5.314
none,0.1,12,16,8,4,"(2,)","(1, 3)",5.3694
none,0.1,12,16,6,8,"(2,)","(1, 3)",5.3136
none,0.1,12,16,6,6,"(2,)","(1, 3)",5.3524
none,0.1,12,16,6,4,"(2,)","(1, 3)",5.4086
none,0.1,12,16,4,8,"(2,)","(1, 3)",5.3635
none,0.1,12,16,4,6,"(2,)","(1, 3)",5.403
none,0.1,12,16,4,4,"(2,)","(1, 3)",5.4602
none,0.1,12,12,8,8,"(2,)","(1, 3)",5.6379
none,0.1,12,12,8,6,"(2,)","(1, 3)",5.6815
none,0.1,12,12,8,4,"(2,)","(1, 3)",5.7448
none,0.1,12,12,6,8,"(2,)","(1, 3)",5.6811
none,0.1,12,12,6,6,"(2,)","(1, 3)",5.7255
none,0.1,12,12,6,4,"(2,)","(1, 3)",5.7898
none,0.1,12,12,4,8,"(2,)","(1, 3)",5.7381
none,0.1,12,12,4,6,"(2,)","(1, 3)",5.7834
none,0.1,12,12,4,4,"(2,)","(1, 3)",5.849
none,0.1,12,10,8,8,"(2,)","(1, 3)",5.895
none,0.1,12,10,8,6,"(2,)","(1, 3)",5.9428
none,0.1,12,10,8,4,"(2,)","(1, 3)",6.0121
none,0.1,12,10,6,8,"(2,)","(1, 3)",5.9423
none,0.1,12,10,6,6,"(2,)","(1, 3)",5.9909
none,0.1,12,10,6,4,"(2,)","(1, 3)",6.0613
none,0.1,12,10,4,8,"(2,)","(1, 3)",6.0047
none,0.1,12,10,4,6,"(2,)","(1, 3)",6.0543
none,0.1,12,10,4,4,"(2,)","(1, 3)",6.1262
none,0.1,12,8,8,8,"(2,)","(1, 3)",6.2462
none,0.1,12,8,8,6,"(2,)","(1, 3)",6.2998
none,0.1,12,8,8,4,"(2,)","(1, 3)",6.3777
none,0.1,12,8,6,8,"(2,)","(1, 3)",6.2993
none,0.1,12,8,6,6,"(2,)","(1, 3)",6.3539
none,0.1,12,8,6,4,"(2,)","(1, 3)",6.4332
none,0.1,12,8,4,8,"(2,)","(1, 3)",6.3694
none,0.1,12,8,4,6,"(2,)","(1, 3)",6.4253
none,0.1,12,8,4,4,"(2,)","(1, 3)",6.5063
none,0.1,12,6,8,6,"(2,)","(1, 3)",6.8109
none,0.1,12,6,8,4,"(2,)","(1, 3)",6.9021
none,0.1,12,6,6,6,"(2,)","(1, 3)",6.8741
none,0.1,12,6,6,4,"(2,)","(1, 3)",6.967
none,0.1,12,6,4,6,"(2,)","(1, 3)",6.9577
none,0.1,12,6,4,4,"(2,)","(1, 3)",7.0529
none,0.1,10,16,8,8,"(2,)","(1, 3)",5.5036
none,0.1,10,16,8,6,"(2,)","(1, 3)",5.5452
none,0.1,10,16,8,4,"(2,)","(1, 3)",5.6055
none,0.1,10,16,6,8,"(2,)","(1, 3)",5.5448
none,0.1,10,16,6,6,"(2,)","(1, 3)",5.5871
none,0.1,10,16,6,4,"(2,)","(1, 3)",5.6483
none,0.1,10,16,4,8,"(2,)","(1, 3)",5.5991
none,0.1,10,16,4,6,"(2,)","(1, 3)",5.6422
none,0.1,10,16,4,4,"(2,)","(1, 3)",5.7046
none,0.1,10,12,8,8,"(2,)","(1, 3)",5.8988
none,0.1,10,12,8,6,"(2,)","(1, 3)",5.9467
none,0.1,10,12,8,4,"(2,)","(1, 3)",6.016
none,0.1,10,12,6,8,"(2,)","(1, 3)",5.9462
none,0.1,10,12,6,6,"(2,)","(1, 3)",5.9948
none,0.1,10,12,6,4,"(2,)","(1, 3)",6.0653
none,0.1,10,12,4,8,"(2,)","(1, 3)",6.0086
none,0.1,10,12,4,6,"(2,)","(1, 3)",6.0583
none,0.1,10,12,4,4,"(2,)","(1, 3)",6.1303
none,0.1,10,10,8,8,"(2,)","(1, 3)",6.1809
none,0.1,10,10,8,6,"(2,)","(1, 3)",6.2334
none,0.1,10,10,8,4,"(2,)","(1, 3)",6.3097
none,0.1,10,10,6,8,"(2,)","(1, 3)",6.2329
none,0.1,10,10,6,6,"(2,)","(1, 3)",6.2864
none,0.1,10,10,6,4,"(2,)","(1, 3)",6.364
none,0.1,10,10,4,8,"(2,)","(1, 3)",6.3016
none,0.1,10,10,4,6,"(2,)","(1, 3)",6.3562
none,0.1,10,10,4,4,"(2,)","(1, 3)",6.4356
none,0.1,10,8,8,8,"(2,)","(1, 3)",6.5681
none,0.1,10,8,8,6,"(2,)","(1, 3)",6.6274
none,0.1,10,8,8,4,"(2,)","(1, 3)",6.7137
none,0.1,10,8,6,8,"(2,)","(1, 3)",6.6268
none,0.1,10,8,6,6,"(2,)","(1, 3)",6.6873
none,0.1,10,8,6,4,"(2,)","(1, 3)",6.7752
none,0.1,10,8,4,8,"(2,)","(1, 3)",6.7045
none,0.1,10,8,4,6,"(2,)","(1, 3)",6.7664
none,0.1,10,8,4,4,"(2,)","(1, 3)",6.8564
none,0.1,10,6,8,6,"(2,)","(1, 3)",7.1954
none,0.1,10,6,8,4,"(2,)","(1, 3)",7.2973
none,0.1,10,6,6,6,"(2,)","(1, 3)",7.2661
none,0.1,10,6,6,4,"(2,)","(1, 3)",7.3699
none,0.1,10,6,4,6,"(2,)","(1, 3)",7.3595
none,0.1,10,6,4,4,"(2,)","(1, 3)",7.4661
none,0.1,8,16,8,8,"(2,)","(1, 3)",5.8135
none,0.1,8,16,8,6,"(2,)","(1, 3)",5.8599
none,0.1,8,16,8,4,"(2,)","(1, 3)",5.9273
none,0.1,8,16,6,8,"(2,)","(1, 3)",5.8595
none,0.1,8,16,6,6,"(2,)","(1, 3)",5.9067
none,0.1,8,16,6,4,"(2,)","(1, 3)",5.9751
none,0.1,8,16,4,8,"(2,)","(1, 3)",5.9201
none,0.1,8,16,4,6,"(2,)","(1, 3)",5.9683
none,0.1,8,16,4,4,"(2,)","(1, 3)",6.0382
none,0.1,8,12,8,8,"(2,)","(1, 3)",6.2562
none,0.1,8,12,8,6,"(2,)","(1, 3)",6.31
none,0.1,8,12,8,4,"(2,)","(1, 3)",6.3882
none,0.1,8,12,6,8,"(2,)","(1, 3)",6.3095
none,0.1,8,12,6,6,"(2,)","(1, 3)",6.3643
none,0.1,8,12,6,4,"(2,)","(1, 3)",6.4438
none,0.1,8,12,4,8,"(2,)","(1, 3)",6.3799
none,0.1,8,12,4,6,"(2,)","(1, 3)",6.4359
none,0.1,8,12,4,4,"(2,)","(1, 3)",6.5172
none,0.1,8,10,8,8,"(2,)","(1, 3)",6.5744
none,0.1,8,10,8,6,"(2,)","(1, 3)",6.6339
none,0.1,8,10,8,4,"(2,)","(1, 3)",6.7204
none,0.1,8,10,6,8,"(2,)","(1, 3)",6.6333
none,0.1,8,10,6,6,"(2,)","(1, 3)",6.6939
none,0.1,8,10,6,4,"(2,)","(1, 3)",6.7819
none,0.1,8,10,4,8,"(2,)","(1, 3)",6.7111
none,0.1,8,10,4,6,"(2,)","(1, 3)",6.7731
none,0.1,8,10,4,4,"(2,)","(1, 3)",6.8633
none,0.1,8,8,8,8,"(2,)","(1, 3)",7.0142
none,0.1,8,8,8,6,"(2,)","(1, 3)",7.0819
none,0.1,8,8,8,4,"(2,)","(1, 3)",7.1806
none,0.1,8,8,6,8,"(2,)","(1, 3)",7.0813
none,0.1,8,8,6,6,"(2,)","(1, 3)",7.1503
none,0.1,8,8,6,4,"(2,)","(1, 3)",7.2509
none,0.1,8,8,4,8,"(2,)","(1, 3)",7.17
none,0.1,8,8,4,6,"(2,)","(1, 3)",7.2408
none,0.1,8,8,4,4,"(2,)","(1, 3)",7.344
none,0.1,8,6,8,6,"(2,)","(1, 3)",7.7344
none,0.1,8,6,8,4,"(2,)","(1, 3)",7.8521
none,0.1,8,6,6,6,"(2,)","(1, 3)",7.816
none,0.1,8,6,6,4,"(2,)","(1, 3)",7.9363
none,0.1,8,6,4,6,"(2,)","(1, 3)",7.9243
none,0.1,8,6,4,4,"(2,)","(1, 3)",8.048
none,0.1,6,16,6,8,"(2,)","(1, 3)",6.3178
