transform_type,heads_selection,high_key_max_value,high_value_max_value,low_key_max_value,low_value_max_value,axis_key,axis_value,cr
none,0.1,16,16,8,8,"(2,)","(1, 3)",4.9656
none,0.1,16,16,8,6,"(2,)","(1, 3)",4.9989
none,0.1,16,16,8,4,"(2,)","(1, 3)",5.0472
none,0.1,16,16,6,8,"(2,)","(1, 3)",4.9983
none,0.1,16,16,6,6,"(2,)","(1, 3)",5.032
none,0.1,16,16,6,4,"(2,)","(1, 3)",5.081
none,0.1,16,16,4,8,"(2,)","(1, 3)",5.0407
none,0.1,16,16,4,6,"(2,)","(1, 3)",5.075
none,0.1,16,16,4,4,"(2,)","(1, 3)",5.1249
none,0.1,16,12,8,8,"(2,)","(1, 3)",5.2862
none,0.1,16,12,8,6,"(2,)","(1, 3)",5.3236
none,0.1,16,12,8,4,"(2,)","(1, 3)",5.378
none,0.1,16,12,6,8,"(2,)","(1, 3)",5.3233
none,0.1,16,12,6,6,"(2,)","(1, 3)",5.3612
none,0.1,16,12,6,4,"(2,)","(1, 3)",5.4164
none,0.1,16,12,4,8,"(2,)","(1, 3)",5.3714
none,0.1,16,12,4,6,"(2,)","(1, 3)",5.41
none,0.1,16,12,4,4,"(2,)","(1, 3)",5.4662
none,0.1,16,10,8,8,"(2,)","(1, 3)",5.5119
none,0.1,16,10,8,6,"(2,)","(1, 3)",5.5525
none,0.1,16,10,8,4,"(2,)","(1, 3)",5.6114
none,0.1,16,10,6,8,"(2,)","(1, 3)",5.5522
none,0.1,16,10,6,6,"(2,)","(1, 3)",5.5935
none,0.1,16,10,6,4,"(2,)","(1, 3)",5.6532
none,0.1,16,10,4,8,"(2,)","(1, 3)",5.6046
none,0.1,16,10,4,6,"(2,)","(1, 3)",5.6467
none,0.1,16,10,4,4,"(2,)","(1, 3)",5.7075
none,0.1,16,8,8,8,"(2,)","(1, 3)",5.8191
none,0.1,16,8,8,6,"(2,)","(1, 3)",5.8651
none,0.1,16,8,8,4,"(2,)","(1, 3)",5.9305
none,0.1,16,8,6,8,"(2,)","(1, 3)",5.8641
none,0.1,16,8,6,6,"(2,)","(1, 3)",5.9108
none,0.1,16,8,6,4,"(2,)","(1, 3)",5.9772
none,0.1,16,8,4,8,"(2,)","(1, 3)",5.9226
none,0.1,16,8,4,6,"(2,)","(1, 3)",5.9702
none,0.1,16,8,4,4,"(2,)","(1, 3)",6.038
none,0.1,16,6,8,6,"(2,)","(1, 3)",6.3067
none,0.1,16,6,8,4,"(2,)","(1, 3)",6.3832
none,0.1,16,6,6,6,"(2,)","(1, 3)",6.3596
none,0.1,16,6,6,4,"(2,)","(1, 3)",6.4374
none,0.1,16,6,4,6,"(2,)","(1, 3)",6.4284
none,0.1,16,6,4,4,"(2,)","(1, 3)",6.5079
none,0.1,12,16,8,8,"(2,)","(1, 3)",5.2899
none,0.1,12,16,8,6,"(2,)","(1, 3)",5.3277
none,0.1,12,16,8,4,"(2,)","(1, 3)",5.3826
none,0.1,12,16,6,8,"(2,)","(1, 3)",5.3267
none,0.1,12,16,6,6,"(2,)","(1, 3)",5.365
none,0.1,12,16,6,4,"(2,)","(1, 3)",5.4207
none,0.1,12,16,4,8,"(2,)","(1, 3)",5.3744
none,0.1,12,16,4,6,"(2,)","(1, 3)",5.4134
none,0.1,12,16,4,4,"(2,)","(1, 3)",5.4702
none,0.1,12,12,8,8,"(2,)","(1, 3)",5.6553
none,0.1,12,12,8,6,"(2,)","(1, 3)",5.6981
none,0.1,12,12,8,4,"(2,)","(1, 3)",5.7605
none,0.1,12,12,6,8,"(2,)","(1, 3)",5.6973
none,0.1,12,12,6,6,"(2,)","(1, 3)",5.7408
none,0.1,12,12,6,4,"(2,)","(1, 3)",5.8041
none,0.1,12,12,4,8,"(2,)","(1, 3)",5.752
none,0.1,12,12,4,6,"(2,)","(1, 3)",5.7963
none,0.1,12,12,4,4,"(2,)","(1, 3)",5.8609
none,0.1,12,10,8,8,"(2,)","(1, 3)",5.9143
none,0.1,12,10,8,6,"(2,)","(1, 3)",5.9612
none,0.1,12,10,8,4,"(2,)","(1, 3)",6.0291
none,0.1,12,10,6,8,"(2,)","(1, 3)",5.9604
none,0.1,12,10,6,6,"(2,)","(1, 3)",6.008
none,0.1,12,10,6,4,"(2,)","(1, 3)",6.0769
none,0.1,12,10,4,8,"(2,)","(1, 3)",6.0202
none,0.1,12,10,4,6,"(2,)","(1, 3)",6.0688
none,0.1,12,10,4,4,"(2,)","(1, 3)",6.1392
none,0.1,12,8,8,8,"(2,)","(1, 3)",6.2696
none,0.1,12,8,8,6,"(2,)","(1, 3)",6.323
none,0.1,12,8,8,4,"(2,)","(1, 3)",6.399
none,0.1,12,8,6,8,"(2,)","(1, 3)",6.3213
none,0.1,12,8,6,6,"(2,)","(1, 3)",6.3756
none,0.1,12,8,6,4,"(2,)","(1, 3)",6.4529
none,0.1,12,8,4,8,"(2,)","(1, 3)",6.3887
none,0.1,12,8,4,6,"(2,)","(1, 3)",6.4442
none,0.1,12,8,4,4,"(2,)","(1, 3)",6.5232
none,0.1,12,6,8,6,"(2,)","(1, 3)",6.8393
none,0.1,12,6,8,4,"(2,)","(1, 3)",6.9293
none,0.1,12,6,6,6,"(2,)","(1, 3)",6.9009
none,0.1,12,6,6,4,"(2,)","(1, 3)",6.9926
none,0.1,12,6,4,6,"(2,)","(1, 3)",6.9813
none,0.1,12,6,4,4,"(2,)","(1, 3)",7.0751
none,0.1,10,16,8,8,"(2,)","(1, 3)",5.5192
none,0.1,10,16,8,6,"(2,)","(1, 3)",5.5603
none,0.1,10,16,8,4,"(2,)","(1, 3)",5.6202
none,0.1,10,16,6,8,"(2,)","(1, 3)",5.5591
none,0.1,10,16,6,6,"(2,)","(1, 3)",5.6009
none,0.1,10,16,6,4,"(2,)","(1, 3)",5.6617
none,0.1,10,16,4,8,"(2,)","(1, 3)",5.6108
none,0.1,10,16,4,6,"(2,)","(1, 3)",5.6533
none,0.1,10,16,4,4,"(2,)","(1, 3)",5.7153
none,0.1,10,12,8,8,"(2,)","(1, 3)",5.9181
none,0.1,10,12,8,6,"(2,)","(1, 3)",5.965
none,0.1,10,12,8,4,"(2,)","(1, 3)",6.0335
none,0.1,10,12,6,8,"(2,)","(1, 3)",5.9641
none,0.1,10,12,6,6,"(2,)","(1, 3)",6.0118
none,0.1,10,12,6,4,"(2,)","(1, 3)",6.0813
none,0.1,10,12,4,8,"(2,)","(1, 3)",6.0236
none,0.1,10,12,4,6,"(2,)","(1, 3)",6.0722
none,0.1,10,12,4,4,"(2,)","(1, 3)",6.1431
none,0.1,10,10,8,8,"(2,)","(1, 3)",6.2024
none,0.1,10,10,8,6,"(2,)","(1, 3)",6.254
none,0.1,10,10,8,4,"(2,)","(1, 3)",6.3288
none,0.1,10,10,6,8,"(2,)","(1, 3)",6.253
none,0.1,10,10,6,6,"(2,)","(1, 3)",6.3054
none,0.1,10,10,6,4,"(2,)","(1, 3)",6.3814
none,0.1,10,10,4,8,"(2,)","(1, 3)",6.3184
none,0.1,10,10,4,6,"(2,)","(1, 3)",6.3719
none,0.1,10,10,4,4,"(2,)","(1, 3)",6.4496
none,0.1,10,8,8,8,"(2,)","(1, 3)",6.5943
none,0.1,10,8,8,6,"(2,)","(1, 3)",6.6534
none,0.1,10,8,8,4,"(2,)","(1, 3)",6.7377
none,0.1,10,8,6,8,"(2,)","(1, 3)",6.6514
none,0.1,10,8,6,6,"(2,)","(1, 3)",6.7116
none,0.1,10,8,6,4,"(2,)","(1, 3)",6.7973
none,0.1,10,8,4,8,"(2,)","(1, 3)",6.7255
none,0.1,10,8,4,6,"(2,)","(1, 3)",6.787
none,0.1,10,8,4,4,"(2,)","(1, 3)",6.8747
none,0.1,10,6,8,6,"(2,)","(1, 3)",7.2275
none,0.1,10,6,8,4,"(2,)","(1, 3)",7.3281
none,0.1,10,6,6,6,"(2,)","(1, 3)",7.2962
none,0.1,10,6,6,4,"(2,)","(1, 3)",7.3988
none,0.1,10,6,4,6,"(2,)","(1, 3)",7.3855
none,0.1,10,6,4,4,"(2,)","(1, 3)",7.4905
none,0.1,8,16,8,8,"(2,)","(1, 3)",5.831
none,0.1,8,16,8,6,"(2,)","(1, 3)",5.8769
none,0.1,8,16,8,4,"(2,)","(1, 3)",5.9439
none,0.1,8,16,6,8,"(2,)","(1, 3)",5.8762
none,0.1,8,16,6,6,"(2,)","(1, 3)",5.9229
none,0.1,8,16,6,4,"(2,)","(1, 3)",5.9909
none,0.1,8,16,4,8,"(2,)","(1, 3)",5.9335
none,0.1,8,16,4,6,"(2,)","(1, 3)",5.9811
